Einschreibeschluessel,Kuerzel,Semesterzug,"Name der Vorlesung",Kurzbezeichnung,Dozent,Bemerkungen,"Weiterer Link",Moodle-Link,Evaluierungswunsch
9g0_YpPyH_Y:,VEN,ID3,Obj.or.Prog.,OOP,VENDL,," ","https://moodle.hs-hannover.de/course/view.php?id=27408 ",
9g0_YpPyH_Y:,VEN,II3,Obj.or.Prog.,OOP,VENDL,," ","https://moodle.hs-hannover.de/course/view.php?id=27408 ",
9g0_YpPyH_Y:,VEN,MT3,Obj.or.Prog.,OOP,VENDL,," ","https://moodle.hs-hannover.de/course/view.php?id=27408 ",
ZugangStud,GUI,ME2,ProdEntwMet,PEMD,GUSIG,," ","https://moodle.hs-hannover.de/course/view.php?id=26770 ",
ZugangStud,GUI,WP2,ProdEntwMet,PEMD,GUSIG,," ","https://moodle.hs-hannover.de/course/view.php?id=26770 ",
"Bitte per E-Mail beim Dozenten erfragen",CZO,WI6,Personalmgm,PER,CZOGEL,"<p dir=""ltr"" style=""text-align:left;""></p><p dir=""ltr"">Weitere Infos zu den Lehrveranstaltungen der Fakultät IV finden SIe unter: <br /><a href=""https://moodle.hs-hannover.de/course/view.php?id=2446"" target=""_blank"" rel=""noreferrer noopener"">https://moodle.hs-hannover.de/course/view.php?id=2446</a></p><p dir=""ltr""><br /></p><br /><p></p>"," "," ",
PHY12324,GIE,II1,"Physik 1",PHY1,GIERAY,," ","https://moodle.hs-hannover.de/course/view.php?id=27082 ",
WinSem24,GRM,KT1,"Physik 1",PHY1,GRÜNEMAIER,," ","https://moodle.hs-hannover.de/course/view.php?id=27343 Physik 1 für duale Studiengänge",
PHY12324,GIE,M1A,"Physik 1",PHY1,GIERAY,," ","https://moodle.hs-hannover.de/course/view.php?id=27082 ",
PHY1WS2425,PIN,M1B,"Physik 1",PHY1,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=27468 ",
WinSem24,GRM,PT1,"Physik 1",PHY1,GRÜNEMAIER,," ","https://moodle.hs-hannover.de/course/view.php?id=27343 Physik 1 für duale Studiengänge",
PHY1WS2425,PIN,VE1,"Physik 1",PHY1,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=27468 ",
Energieerhaltung,GRA,WI1,"Physik 1",PHY1,GRAEF,," ","https://moodle.hs-hannover.de/course/view.php?id=27246 ",
PHY12324,GIE,WT3,"Physik 1",PHY1,GIERAY,," ","https://moodle.hs-hannover.de/course/view.php?id=27082 ",
PHY22324,GIE,II2,"Physik 2",PHY2,GIERAY,," ","https://moodle.hs-hannover.de/course/view.php?id=27081 ",
PHY2WS2425,PIN,M3A,"Physik 2",PHY2,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=27472 ",
PHY22324,GIE,M3B,"Physik 2",PHY2,GIERAY,," ","https://moodle.hs-hannover.de/course/view.php?id=27081 ",
PHY2WS2425,PIN,VE3,"Physik 2",PHY2,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=27472 ",
Resonanz,GRA,WI3,"Physik 2",PHY2,GRAEF,," ","https://moodle.hs-hannover.de/course/view.php?id=27247 ",
Workflow,NIR,ID3,Proj.Manam.,PJMD,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27403 ",
Workflow,NIR,KT5,Proj.Manam.,PJMD,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27403 ",
Workflow,NIR,PT5,Proj.Manam.,PJMD,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27403 ",
Workflow,NIR,WT5,Proj.Manam.,PJMD,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27403 ",
STUXNET-WiSe-24_25,HOY,PE2,ProzLeitCAE,PLC,HOYER,," ","https://moodle.hs-hannover.de/course/view.php?id=26881 ",
STUXNET-WiSe-24_25,HOY,PM2,ProzLeitCAE,PLC,HOYER,," ","https://moodle.hs-hannover.de/course/view.php?id=26881 ",
Download@FGA,HOF,VM2,ProzLeitLab,PLL,HOFFMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=8265 ",
Download@FGA,HOF,VE5,ProzLeitLab,PLLV,HOFFMANN,"<p dir=""ltr"" style=""text-align:left;"">Einschreibeschlüssel: AMPEL-WiSe-24_25<br /></p>","https://moodle.hs-hannover.de/course/view.php?id=26873 ","https://moodle.hs-hannover.de/course/view.php?id=8265 ",
STUXNET-WiSe-24_25,HOF,PE2,ProzL.CAESem,PLS,HOFFMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=26881 ",
