Einschreibeschluessel,Kuerzel,Semesterzug,Name der Vorlesung,Kurzbezeichnung,Dozent,Bemerkungen,Weiterer Link,Moodle-Link,Evaluierungswunsch,Veranstaltungsart,Evaluierungswunsch als Vorlesung,Evaluierungswunsch als Labor,Semester,Studiengang
Bitte per E-Mail beim Dozenten erfragen,GRM,WI3,AngewProg,APG,GRÜNEMAIER,, ,https://moodle.hs-hannover.de/course/view.php?id=24711 Angewandten Programmieren mit Matlab und VBA,ja,Labor,,,WS 24/25,WI3
Bitte per E-Mail beim Dozenten erfragen,BLO,WI3,Buchführung,BUF,BLODE,"<p dir=""ltr"" style=""text-align:left;""></p><p dir=""ltr"">Weitere Infos zu den Lehrveranstaltungen der Fakultät IV finden SIe unter: <br /><a href=""https://moodle.hs-hannover.de/course/view.php?id=2446"" target=""_blank"" rel=""noreferrer noopener"">https://moodle.hs-hannover.de/course/view.php?id=2446</a></p><p dir=""ltr""><br /></p><br /><p></p>", , ,ja,Vorlesung,,,WS 24/25,"AM6,ID5,ME2,WT1,MT1,M3A,WI4,WI6,M1B,KT3,VE1,KT5,MT5,MT3,WT3,PS5,WB2,WT5,PT3,AM4,II2,VE3,2+3,PT1,WI5,WI3,M3B,WI2,II5,KT1"
Bitte per E-Mail beim Dozenten erfragen,BLO,WT3,Buchführung,BUF,BLODE,"<p dir=""ltr"" style=""text-align:left;""></p><p dir=""ltr"">Weitere Infos zu den Lehrveranstaltungen der Fakultät IV finden SIe unter: <br /><a href=""https://moodle.hs-hannover.de/course/view.php?id=2446"" target=""_blank"" rel=""noreferrer noopener"">https://moodle.hs-hannover.de/course/view.php?id=2446</a></p><p dir=""ltr""><br /></p><br /><p></p>", , ,ja,Vorlesung,,,WS 24/25,"AM6,ID5,ME2,WT1,MT1,M3A,WI4,WI6,M1B,KT3,VE1,KT5,MT5,MT3,WT3,PS5,WB2,WT5,PT3,AM4,II2,VE3,2+3,PT1,WI5,WI3,M3B,WI2,II5,KT1"
,SCA,II5,Beweg.tech1,BWT1,SCHARMANN,, , ,ja,Vorlesung,,,WS 24/25,"AM6,ID5,ME2,WT1,MT1,M3A,WI4,WI6,M1B,KT3,VE1,KT5,MT5,MT3,WT3,PS5,WB2,WT5,PT3,AM4,II2,VE3,2+3,PT1,WI5,WI3,M3B,WI2,II5,KT1"
